LEDGER t=5970039 tip=5969951, quorum=0.7
LEDGER t=5970041 tip=5969951, quorum=0.75
LEDGER t=5970044 tip=5969951, quorum=0.85
LEDGER t=5970071 tip=5969984, quorum=0.7
LEDGER t=5970073 tip=5969984, quorum=0.75
LEDGER t=5970076 tip=5969984, quorum=0.85
LEDGER t=5970103 tip=5970016, quorum=0.7
LEDGER t=5970105 tip=5970016, quorum=0.75
LEDGER t=5970108 tip=5970016, quorum=0.85
LEDGER t=5970135 tip=5970048, quorum=0.7
LEDGER t=5970137 tip=5970048, quorum=0.75
LEDGER t=5970140 tip=5970048, quorum=0.85
LEDGER t=5970167 tip=5970080, quorum=0.7
LEDGER t=5970169 tip=5970080, quorum=0.75
LEDGER t=5970172 tip=5970080, quorum=0.85
LEDGER t=5970199 tip=5970112, quorum=0.7
LEDGER t=5970201 tip=5970112, quorum=0.75
LEDGER t=5970204 tip=5970112, quorum=0.85
LEDGER t=5970231 tip=5970144, quorum=0.7
LEDGER t=5970233 tip=5970144, quorum=0.75
LEDGER t=5970236 tip=5970144, quorum=0.85
LEDGER t=5970263 tip=5970176, quorum=0.7
LEDGER t=5970265 tip=5970176, quorum=0.75
LEDGER t=5970268 tip=5970176, quorum=0.85
LEDGER t=5970295 tip=5970208, quorum=0.7
LEDGER t=5970297 tip=5970208, quorum=0.75
LEDGER t=5970300 tip=5970208, quorum=0.85
LEDGER t=5970327 tip=5970240, quorum=0.7
LEDGER t=5970329 tip=5970240, quorum=0.75
LEDGER t=5970332 tip=5970240, quorum=0.85
LEDGER t=5970359 tip=5970272, quorum=0.7
LEDGER t=5970361 tip=5970272, quorum=0.75
LEDGER t=5970364 tip=5970272, quorum=0.85
LEDGER t=5970392 tip=5970304, quorum=0.7
LEDGER t=5970393 tip=5970304, quorum=0.75
LEDGER t=5970397 tip=5970304, quorum=0.85
LEDGER t=5970423 tip=5970336, quorum=0.7
LEDGER t=5970425 tip=5970336, quorum=0.75
LEDGER t=5970428 tip=5970336, quorum=0.85
LEDGER t=5970455 tip=5970368, quorum=0.7
LEDGER t=5970457 tip=5970368, quorum=0.75
LEDGER t=5970460 tip=5970368, quorum=0.85
LEDGER t=5970487 tip=5970400, quorum=0.7
LEDGER t=5970489 tip=5970400, quorum=0.75
LEDGER t=5970492 tip=5970400, quorum=0.85
LEDGER t=5970519 tip=5970432, quorum=0.7
LEDGER t=5970521 tip=5970432, quorum=0.75
LEDGER t=5970524 tip=5970432, quorum=0.85
LEDGER t=5970552 tip=5970464, quorum=0.7
LEDGER t=5970554 tip=5970464, quorum=0.75
LEDGER t=5970557 tip=5970464, quorum=0.85
LEDGER t=5970583 tip=5970496, quorum=0.7
LEDGER t=5970585 tip=5970496, quorum=0.75
LEDGER t=5970588 tip=5970496, quorum=0.85
LEDGER t=5970615 tip=5970528, quorum=0.7
LEDGER t=5970617 tip=5970528, quorum=0.75
LEDGER t=5970620 tip=5970528, quorum=0.85
LEDGER t=5970648 tip=5970560, quorum=0.7
LEDGER t=5970649 tip=5970560, quorum=0.75
LEDGER t=5970652 tip=5970560, quorum=0.85
LEDGER t=5970679 tip=5970592, quorum=0.7
LEDGER t=5970682 tip=5970592, quorum=0.75
LEDGER t=5970684 tip=5970592, quorum=0.85
LEDGER t=5970712 tip=5970624, quorum=0.7
LEDGER t=5970713 tip=5970624, quorum=0.75
LEDGER t=5970716 tip=5970624, quorum=0.85
LEDGER t=5970743 tip=5970656, quorum=0.7
LEDGER t=5970745 tip=5970656, quorum=0.75
LEDGER t=5970748 tip=5970656, quorum=0.85
LEDGER t=5970775 tip=5970688, quorum=0.7
LEDGER t=5970777 tip=5970688, quorum=0.75
