PARTICIPATION epoch=186563, participation=0.9951323450740099
PARTICIPATION epoch=186564, participation=0.9982216704247725
PARTICIPATION epoch=186565, participation=0.9985777222742568
PARTICIPATION epoch=186566, participation=0.998740234535466
PARTICIPATION epoch=186567, participation=0.9993263091784441
PARTICIPATION epoch=186568, participation=0.9999324493324351
PARTICIPATION epoch=186569, participation=0.9979387917924113
PARTICIPATION epoch=186570, participation=0.9983696555098523
PARTICIPATION epoch=186571, participation=0.9833533246795451
PARTICIPATION epoch=186572, participation=0.9975280107058679
PARTICIPATION epoch=186573, participation=0.998269242355364
PARTICIPATION epoch=186574, participation=0.9715684717300456
PARTICIPATION epoch=186575, participation=0.9903968510434752
PARTICIPATION epoch=186576, participation=0.9988607671199864
PARTICIPATION epoch=186577, participation=1
PARTICIPATION epoch=186578, participation=0.9997699625915357
PARTICIPATION epoch=186579, participation=0.9686364076189851
PARTICIPATION epoch=186580, participation=0.9997097146988427
PARTICIPATION epoch=186581, participation=0.999629384175252
PARTICIPATION epoch=186582, participation=0.9929765562669676
PARTICIPATION epoch=186583, participation=0.9977653508892042
PARTICIPATION epoch=186584, participation=1
PARTICIPATION epoch=186585, participation=0.9991729607457593
PARTICIPATION epoch=186586, participation=0.9984353804836993
PARTICIPATION epoch=186587, participation=0.9987493998031902
PARTICIPATION epoch=186588, participation=1
PARTICIPATION epoch=186589, participation=1
PARTICIPATION epoch=186590, participation=1
PARTICIPATION epoch=186591, participation=0.9994723745155065
PARTICIPATION epoch=186592, participation=0.9986179498554963
PARTICIPATION epoch=186593, participation=0.9991747864394773
PARTICIPATION epoch=186594, participation=0.9995746133637129
PARTICIPATION epoch=186595, participation=0.9999561833507687
PARTICIPATION epoch=186596, participation=0.9991766121331953
PARTICIPATION epoch=186597, participation=1
PARTICIPATION epoch=186598, participation=1
PARTICIPATION epoch=186599, participation=1
PARTICIPATION epoch=186600, participation=0.9990360477959634
PARTICIPATION epoch=186601, participation=0.9995600206662492
PARTICIPATION epoch=186602, participation=1
PARTICIPATION epoch=186603, participation=0.9998101389454314
PARTICIPATION epoch=186604, participation=1
PARTICIPATION epoch=186605, participation=0.9767043639384065
PARTICIPATION epoch=186606, participation=0.997977338155106
PARTICIPATION epoch=186607, participation=0.9998192774383399
PARTICIPATION epoch=186608, participation=0.9826965237884007
PARTICIPATION epoch=186609, participation=1
PARTICIPATION epoch=186610, participation=0.9999634919910555
PARTICIPATION epoch=186611, participation=0.9774986172793534
PARTICIPATION epoch=186612, participation=0.9998065124972848
PARTICIPATION epoch=186613, participation=0.9997517518833088
PARTICIPATION epoch=186614, participation=1
PARTICIPATION epoch=186615, participation=0.9999434140322248
PARTICIPATION epoch=186616, participation=1
PARTICIPATION epoch=186617, participation=1
PARTICIPATION epoch=186618, participation=1
PARTICIPATION epoch=186619, participation=0.9987094748639656
PARTICIPATION epoch=186620, participation=0.9996276278249632
PARTICIPATION epoch=186621, participation=1
PARTICIPATION epoch=186622, participation=0.9929815146420755
PARTICIPATION epoch=186623, participation=1
PARTICIPATION epoch=186624, participation=1
PARTICIPATION epoch=186625, participation=1
PARTICIPATION epoch=186626, participation=0.99940676001526
PARTICIPATION epoch=186627, participation=0.9994414417374448
PARTICIPATION epoch=186628, participation=1
PARTICIPATION epoch=186629, participation=0.9998941294796464
PARTICIPATION epoch=186630, participation=1
PARTICIPATION epoch=186631, participation=1
PARTICIPATION epoch=186632, participation=1
PARTICIPATION epoch=186633, participation=1
PARTICIPATION epoch=186634, participation=0.9999288112018312
PARTICIPATION epoch=186635, participation=0.9971068142282677
PARTICIPATION epoch=186636, participation=0.997820527563755
PARTICIPATION epoch=186637, participation=1
