LEDGER t=6398038 tip=6397952, quorum=0.67
LEDGER t=6398042 tip=6397952, quorum=0.8
LEDGER t=6398045 tip=6397952, quorum=0.9
LEDGER t=6398047 tip=6397952, quorum=0.95
LEDGER t=6398047 tip=6397952, quorum=0.96
LEDGER t=6398048 tip=6397952, quorum=0.97
LEDGER t=6398048 tip=6397952, quorum=0.98
LEDGER t=6398048 tip=6397952, quorum=0.99
LEDGER t=6398070 tip=6397984, quorum=0.67
LEDGER t=6398074 tip=6397984, quorum=0.8
LEDGER t=6398077 tip=6397984, quorum=0.9
LEDGER t=6398079 tip=6397984, quorum=0.95
LEDGER t=6398079 tip=6397984, quorum=0.96
LEDGER t=6398080 tip=6397984, quorum=0.97
LEDGER t=6398080 tip=6397984, quorum=0.98
LEDGER t=6398080 tip=6397984, quorum=0.99
LEDGER t=6398102 tip=6398016, quorum=0.67
LEDGER t=6398106 tip=6398016, quorum=0.8
LEDGER t=6398109 tip=6398016, quorum=0.9
LEDGER t=6398111 tip=6398016, quorum=0.95
LEDGER t=6398111 tip=6398016, quorum=0.96
LEDGER t=6398112 tip=6398016, quorum=0.97
LEDGER t=6398112 tip=6398016, quorum=0.98
LEDGER t=6398112 tip=6398016, quorum=0.99
LEDGER t=6398134 tip=6398048, quorum=0.67
LEDGER t=6398138 tip=6398048, quorum=0.8
LEDGER t=6398141 tip=6398048, quorum=0.9
LEDGER t=6398143 tip=6398048, quorum=0.95
LEDGER t=6398143 tip=6398048, quorum=0.96
LEDGER t=6398144 tip=6398048, quorum=0.97
LEDGER t=6398144 tip=6398048, quorum=0.98
LEDGER t=6398144 tip=6398048, quorum=0.99
LEDGER t=6398166 tip=6398080, quorum=0.67
LEDGER t=6398170 tip=6398080, quorum=0.8
LEDGER t=6398173 tip=6398080, quorum=0.9
LEDGER t=6398175 tip=6398080, quorum=0.95
LEDGER t=6398175 tip=6398080, quorum=0.96
LEDGER t=6398176 tip=6398080, quorum=0.97
LEDGER t=6398176 tip=6398080, quorum=0.98
LEDGER t=6398176 tip=6398080, quorum=0.99
LEDGER t=6398198 tip=6398112, quorum=0.67
LEDGER t=6398202 tip=6398112, quorum=0.8
LEDGER t=6398206 tip=6398112, quorum=0.9
LEDGER t=6398207 tip=6398112, quorum=0.95
LEDGER t=6398207 tip=6398112, quorum=0.96
LEDGER t=6398208 tip=6398112, quorum=0.97
LEDGER t=6398208 tip=6398112, quorum=0.98
LEDGER t=6398208 tip=6398112, quorum=0.99
LEDGER t=6398230 tip=6398144, quorum=0.67
LEDGER t=6398234 tip=6398144, quorum=0.8
LEDGER t=6398237 tip=6398144, quorum=0.9
LEDGER t=6398239 tip=6398144, quorum=0.95
LEDGER t=6398239 tip=6398144, quorum=0.96
LEDGER t=6398240 tip=6398144, quorum=0.97
LEDGER t=6398240 tip=6398144, quorum=0.98
LEDGER t=6398240 tip=6398144, quorum=0.99
LEDGER t=6398262 tip=6398176, quorum=0.67
LEDGER t=6398266 tip=6398176, quorum=0.8
LEDGER t=6398269 tip=6398176, quorum=0.9
LEDGER t=6398271 tip=6398176, quorum=0.95
LEDGER t=6398271 tip=6398176, quorum=0.96
LEDGER t=6398272 tip=6398176, quorum=0.97
LEDGER t=6398272 tip=6398176, quorum=0.98
LEDGER t=6398272 tip=6398176, quorum=0.99
LEDGER t=6398294 tip=6398208, quorum=0.67
LEDGER t=6398298 tip=6398208, quorum=0.8
LEDGER t=6398301 tip=6398208, quorum=0.9
LEDGER t=6398303 tip=6398208, quorum=0.95
LEDGER t=6398303 tip=6398208, quorum=0.96
LEDGER t=6398304 tip=6398208, quorum=0.97
LEDGER t=6398304 tip=6398208, quorum=0.98
LEDGER t=6398304 tip=6398208, quorum=0.99
LEDGER t=6398326 tip=6398240, quorum=0.67
LEDGER t=6398330 tip=6398240, quorum=0.8
LEDGER t=6398333 tip=6398240, quorum=0.9
LEDGER t=6398335 tip=6398240, quorum=0.95
LEDGER t=6398335 tip=6398240, quorum=0.96
LEDGER t=6398336 tip=6398240, quorum=0.97
LEDGER t=6398336 tip=6398240, quorum=0.98
LEDGER t=6398336 tip=6398240, quorum=0.99
LEDGER t=6398358 tip=6398272, quorum=0.67
LEDGER t=6398362 tip=6398272, quorum=0.8
LEDGER t=6398365 tip=6398272, quorum=0.9
LEDGER t=6398367 tip=6398272, quorum=0.95
LEDGER t=6398367 tip=6398272, quorum=0.96
LEDGER t=6398368 tip=6398272, quorum=0.97
LEDGER t=6398368 tip=6398272, quorum=0.98
LEDGER t=6398368 tip=6398272, quorum=0.99
LEDGER t=6398390 tip=6398304, quorum=0.67
LEDGER t=6398394 tip=6398304, quorum=0.8
LEDGER t=6398397 tip=6398304, quorum=0.9
LEDGER t=6398399 tip=6398304, quorum=0.95
LEDGER t=6398399 tip=6398304, quorum=0.96
LEDGER t=6398400 tip=6398304, quorum=0.97
LEDGER t=6398400 tip=6398304, quorum=0.98
LEDGER t=6398400 tip=6398304, quorum=0.99
LEDGER t=6398422 tip=6398336, quorum=0.67
LEDGER t=6398426 tip=6398336, quorum=0.8
LEDGER t=6398429 tip=6398336, quorum=0.9
LEDGER t=6398431 tip=6398336, quorum=0.95
LEDGER t=6398431 tip=6398336, quorum=0.96
LEDGER t=6398432 tip=6398336, quorum=0.97
