LEDGER t=6398032 tip=6397952, quorum=0.5
LEDGER t=6398065 tip=6397984, quorum=0.5
PARTICIPATION epoch=199938, participation=1
LEDGER t=6398097 tip=6398016, quorum=0.5
PARTICIPATION epoch=199939, participation=0.9978478648366705
LEDGER t=6398128 tip=6398048, quorum=0.5
PARTICIPATION epoch=199940, participation=1
LEDGER t=6398160 tip=6398080, quorum=0.5
PARTICIPATION epoch=199941, participation=1
LEDGER t=6398192 tip=6398112, quorum=0.5
PARTICIPATION epoch=199942, participation=1
LEDGER t=6398225 tip=6398144, quorum=0.5
PARTICIPATION epoch=199943, participation=1
LEDGER t=6398257 tip=6398176, quorum=0.5
PARTICIPATION epoch=199944, participation=1
LEDGER t=6398289 tip=6398208, quorum=0.5
PARTICIPATION epoch=199945, participation=1
LEDGER t=6398321 tip=6398240, quorum=0.5
PARTICIPATION epoch=199946, participation=1
LEDGER t=6398353 tip=6398272, quorum=0.5
PARTICIPATION epoch=199947, participation=1
LEDGER t=6398385 tip=6398304, quorum=0.5
PARTICIPATION epoch=199948, participation=1
LEDGER t=6398417 tip=6398336, quorum=0.5
PARTICIPATION epoch=199949, participation=1
LEDGER t=6398448 tip=6398368, quorum=0.5
PARTICIPATION epoch=199950, participation=1
LEDGER t=6398480 tip=6398400, quorum=0.5
PARTICIPATION epoch=199951, participation=1
LEDGER t=6398513 tip=6398432, quorum=0.5
PARTICIPATION epoch=199952, participation=1
LEDGER t=6398544 tip=6398464, quorum=0.5
PARTICIPATION epoch=199953, participation=0.9999964461629222
LEDGER t=6398577 tip=6398496, quorum=0.5
PARTICIPATION epoch=199954, participation=1
LEDGER t=6398609 tip=6398528, quorum=0.5
PARTICIPATION epoch=199955, participation=0.9732594855174056
LEDGER t=6398641 tip=6398560, quorum=0.5
PARTICIPATION epoch=199956, participation=0.9995895369230196
LEDGER t=6398673 tip=6398591, quorum=0.5
PARTICIPATION epoch=199957, participation=0.9692419226730209
LEDGER t=6398705 tip=6398624, quorum=0.5
PARTICIPATION epoch=199958, participation=0.9973951022235805
LEDGER t=6398737 tip=6398656, quorum=0.5
PARTICIPATION epoch=199959, participation=1
LEDGER t=6398768 tip=6398688, quorum=0.5
PARTICIPATION epoch=199960, participation=0.999219963254761
LEDGER t=6398800 tip=6398720, quorum=0.5
PARTICIPATION epoch=199961, participation=1
LEDGER t=6398833 tip=6398752, quorum=0.5
PARTICIPATION epoch=199962, participation=1
LEDGER t=6398865 tip=6398784, quorum=0.5
